,슈퍼 콜라겐_0,슈퍼 콜라겐_1,슈퍼 콜라겐_2,아쿠아파워 히알루론산_0,아쿠아파워 히알루론산_1,아쿠아파워 히알루론산_2,순수      콜라겐_0,순수      콜라겐_1,순수      콜라겐_2,콜라겐 큐브_0,콜라겐 큐브_1,콜라겐 큐브_2,스킨데이_0,스킨데이_1,스킨데이_2,스킨콜라겐젤리_0,스킨콜라겐젤리_1,스킨콜라겐젤리_2,맛있는 이너뷰티 콜라겐C_0,맛있는 이너뷰티 콜라겐C_1,맛있는 이너뷰티 콜라겐C_2,워터뱅크 큐브_0,워터뱅크 큐브_1,워터뱅크 큐브_2,비비랩 더 콜라겐     _0,비비랩 더 콜라겐     _1,비비랩 더 콜라겐     _2,콜라겐 엑설런트_0,콜라겐 엑설런트_1,콜라겐 엑설런트_2,피부   히알루론   _0,피부   히알루론   _1,피부   히알루론   _2,피쉬      콜라겐_0,피쉬      콜라겐_1,피쉬      콜라겐_2,아쿠아스틱_0,아쿠아스틱_1,아쿠아스틱_2,이너뷰티 이너콜라겐_0,이너뷰티 이너콜라겐_1,이너뷰티 이너콜라겐_2,결콜라겐_0,결콜라겐_1,결콜라겐_2,뷰티젤리 콜라겐 피치_0,뷰티젤리 콜라겐 피치_1,뷰티젤리 콜라겐 피치_2,비비랩 더 콜라겐 파우더S_0,비비랩 더 콜라겐 파우더S_1,비비랩 더 콜라겐 파우더S_2,비비랩 저분자콜라겐_0,비비랩 저분자콜라겐_1,비비랩 저분자콜라겐_2,수분충전 아쿠아워너비_0,수분충전 아쿠아워너비_1,수분충전 아쿠아워너비_2,아쿠아 콜라겐_0,아쿠아 콜라겐_1,아쿠아 콜라겐_2,엘 카르니틴 푸마르산_0,엘 카르니틴 푸마르산_1,엘 카르니틴 푸마르산_2,슬림컷_0,슬림컷_1,슬림컷_2,다이어트  in  녹차카테킨     _0,다이어트  in  녹차카테킨     _1,다이어트  in  녹차카테킨     _2,다밀 오곡맛_0,다밀 오곡맛_1,다밀 오곡맛_2,다이어트엔 와일드망고_0,다이어트엔 와일드망고_1,다이어트엔 와일드망고_2,키토산_0,키토산_1,키토산_2,에너지젤리 아르기닌 레몬_0,에너지젤리 아르기닌 레몬_1,에너지젤리 아르기닌 레몬_2,다밀 허니바닐라맛_0,다밀 허니바닐라맛_1,다밀 허니바닐라맛_2,세리번 나이트_0,세리번 나이트_1,세리번 나이트_2,다이어트 스페셜  가르시니아    _0,다이어트 스페셜  가르시니아    _1,다이어트 스페셜  가르시니아    _2,웨이크 업 드링크_0,웨이크 업 드링크_1,웨이크 업 드링크_2,다이어트 린바디 번   컷_0,다이어트 린바디 번   컷_1,다이어트 린바디 번   컷_2,프로틴 쉐이크_0,프로틴 쉐이크_1,프로틴 쉐이크_2,화이버슬림_0,화이버슬림_1,화이버슬림_2,다이어트 스텝   할 수 있어_0,다이어트 스텝   할 수 있어_1,다이어트 스텝   할 수 있어_2,이너라이트 CLA_0,이너라이트 CLA_1,이너라이트 CLA_2,리얼 가르시니아 버전    _0,리얼 가르시니아 버전    _1,리얼 가르시니아 버전    _2,팻다운 아웃도어_0,팻다운 아웃도어_1,팻다운 아웃도어_2,콜라겟 워터젤리 복숭아맛_0,콜라겟 워터젤리 복숭아맛_1,콜라겟 워터젤리 복숭아맛_2,스페셜 올뉴_0,스페셜 올뉴_1,스페셜 올뉴_2
0,50.0,52.67175,47.32824,0.0,0.0,0.0,0.0,0.0,26.31578,24.05063,40.93959,4.83042,0.0,0.0,45.45454,0.0,0.0,7.27272,0.0,0.0,0.0,45.88235,83.52941,9.41176,5.43478,9.69696,3.37078,0.0,0.0,0.0,0.0,0.0,0.0,58.18053,59.90389,42.86945,30.43478,33.33333,90.90909,0.0,0.0,0.0,79.42857,81.31868,30.34934,0.0,0.0,0.0,0.0,0.0,0.0,20.40816,31.57894,20.12987,0.0,0.0,0.0,56.75675,69.49152,39.47368,0.0,0.0,0.0,45.45454,73.17073,27.90697,0.0,0.0,0.0,0.0,0.0,57.14285,46.51162,14.0,0.0,80.705,84.9315,86.79653,0.0,0.0,0.0,0.0,0.0,0.0,7.97785,0.34143,5.16817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.74927,81.10236,31.98847,9.1133,81.71581,83.9416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,12.19512,0.0
1,45.1923,51.14503,51.90839,0.0,0.0,0.0,0.0,0.0,0.0,34.17721,36.24161,4.52209,0.0,0.0,0.0,10.09174,44.44444,12.72727,0.0,0.0,0.0,17.64705,45.88235,38.82352,0.0,18.78787,5.05617,0.0,0.0,0.0,0.0,0.0,0.0,65.02115,56.16657,34.94183,39.13043,74.07407,59.0909,0.0,0.0,0.0,89.71428,51.64835,27.07423,0.0,0.0,0.0,0.0,0.0,0.0,10.20408,28.94736,18.83116,0.0,0.0,0.0,78.37837,54.23728,52.63157,0.0,71.42857,0.0,76.36363,92.68292,32.55813,0.0,0.0,0.0,0.0,0.0,50.0,30.23255,0.0,0.0,85.71428,83.21917,81.16883,0.0,0.0,0.0,0.0,0.0,0.0,7.54306,0.31986,3.92534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36023,72.44094,41.49855,12.80788,60.32171,71.53284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,17.07317,0.0
2,52.88461,36.64122,41.22137,0.0,0.0,0.0,0.0,0.0,42.10526,25.31645,34.22818,5.96094,0.0,0.0,0.0,0.0,27.77777,5.45454,0.0,0.0,0.0,22.35294,17.64705,17.64705,0.0,6.0606,13.48314,0.0,0.0,0.0,0.0,0.0,0.0,65.1622,55.20555,43.68806,43.47826,33.33333,100.0,0.0,0.0,0.0,93.71428,68.68131,20.96069,0.0,0.0,0.0,0.0,0.0,0.0,10.20408,14.47368,18.18181,0.0,0.0,0.0,100.0,77.9661,73.68421,0.0,0.0,0.0,100.0,100.0,55.81395,0.0,0.0,0.0,0.0,0.0,0.0,15.11627,3.33333,0.0,76.06679,80.65068,62.33766,0.0,0.0,0.0,0.0,0.0,0.0,7.18211,54.11198,3.38392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.71757,70.86614,31.4121,13.54679,61.76943,94.89051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.07317,23.52941
3,47.11538,56.48854,41.22137,0.0,0.0,0.0,0.0,0.0,36.8421,51.89873,26.84563,5.96094,0.0,0.0,54.54545,6.42201,0.0,11.81818,0.0,0.0,0.0,22.35294,22.35294,17.64705,0.0,3.63636,4.49438,0.0,0.0,0.0,0.0,0.0,0.0,54.16078,59.04965,42.30934,52.17391,40.74074,100.0,0.0,0.0,0.0,79.42857,59.34065,31.2227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.31578,34.41558,0.0,0.0,0.0,83.78378,100.0,89.47368,0.0,0.0,0.0,72.72727,43.90243,34.88372,0.0,0.0,0.0,0.0,41.66666,0.0,19.76744,2.66666,0.0,78.1076,80.65068,69.26406,0.0,0.0,0.0,0.0,0.0,0.0,12.41591,0.57768,2.56357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.02305,59.05511,38.04034,12.80788,41.60857,83.9416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,21.95121,0.0
4,48.07692,41.98473,27.48091,0.0,0.0,0.0,0.0,0.0,0.0,18.98734,32.8859,5.44707,100.0,0.0,0.0,6.42201,0.0,4.54545,0.0,0.0,0.0,11.7647,22.35294,5.88235,0.0,5.45454,4.49438,0.0,0.0,0.0,0.0,0.0,0.0,53.45557,51.78857,39.595,43.47826,44.44444,45.45454,0.0,0.0,0.0,78.85714,49.45054,32.75109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.63157,24.02597,0.0,0.0,0.0,37.83783,71.18644,42.10526,0.0,0.0,0.0,29.0909,75.60975,69.76744,0.0,0.0,0.0,0.0,0.0,0.0,29.06976,2.0,0.0,65.49165,70.89041,81.81818,0.0,0.0,0.0,0.0,0.0,0.0,5.06152,0.45126,2.37899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.00576,63.77952,29.39481,13.05418,56.4075,88.32116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.19512,0.0
5,59.61538,51.90839,100.0,0.0,0.0,0.0,0.0,0.0,0.0,35.44303,18.79194,4.83042,0.0,0.0,0.0,7.33944,61.11111,0.0,0.0,0.0,0.0,7.05882,11.7647,32.94117,0.0,14.54545,8.98876,0.0,0.0,0.0,0.0,0.0,0.0,59.3794,44.58088,36.92373,0.0,0.0,40.90909,0.0,0.0,0.0,57.71428,55.4945,22.27074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.36842,20.77922,0.0,0.0,0.0,62.16216,62.71186,47.36842,0.0,0.0,0.0,32.72727,85.36585,88.37209,0.0,0.0,0.0,0.0,0.0,0.0,44.18604,0.0,0.0,63.82189,75.17123,85.28138,0.0,0.0,0.0,0.0,0.0,0.0,4.5406,0.54815,3.1173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1585,76.37795,34.58213,11.08374,36.35388,81.75182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.19512,100.0
6,59.61538,45.80152,59.54198,0.0,0.0,0.0,0.0,0.0,36.8421,29.11392,40.26845,4.21377,0.0,0.0,0.0,11.00917,0.0,8.18181,0.0,0.0,0.0,15.29411,7.05882,18.82352,0.0,4.84848,7.30337,0.0,0.0,0.0,0.0,0.0,0.0,59.59097,42.17832,27.44506,21.73913,22.22222,63.63636,0.0,0.0,0.0,62.28571,66.48351,18.99563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.31578,39.61038,0.0,0.0,0.0,27.02702,66.10169,21.05263,0.0,0.0,0.0,50.90909,65.85365,25.58139,0.0,0.0,0.0,0.0,66.66666,35.71428,48.8372,2.33333,0.0,75.5102,85.9589,88.74458,0.0,0.0,0.0,0.0,0.0,0.0,4.86874,0.34973,3.76127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.48126,86.61417,55.33141,7.63546,26.54155,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,14.63414,29.41176
7,61.53846,57.2519,40.45801,0.0,0.0,0.0,0.0,0.0,0.0,22.78481,26.17449,4.93319,0.0,0.0,0.0,11.00917,38.88888,9.0909,0.0,0.0,0.0,17.64705,15.29411,0.0,0.0,4.84848,3.37078,0.0,0.0,0.0,0.0,0.0,0.0,65.02115,42.39188,27.18655,95.65217,51.85185,50.0,0.0,0.0,0.0,72.0,71.97802,25.10917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.26315,27.27272,0.0,0.0,0.0,21.62162,50.84745,15.78947,0.0,0.0,0.0,65.45454,85.36585,30.23255,0.0,0.0,0.0,0.0,0.0,100.0,26.74418,0.0,0.0,90.53803,76.54109,80.08658,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.28569,3.37161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1585,100.0,96.82997,12.06896,16.35388,87.59124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,17.07317,20.58823
8,66.34615,35.87786,44.2748,0.0,0.0,0.0,0.0,0.0,0.0,45.56962,17.44966,5.03597,0.0,0.0,45.45454,4.58715,0.0,10.90909,0.0,0.0,0.0,9.41176,17.64705,11.7647,0.0,9.69696,19.66292,0.0,0.0,0.0,0.0,0.0,0.0,59.59097,43.9402,39.98276,69.56521,51.85185,52.27272,0.0,0.0,0.0,53.14285,65.93406,24.45414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.94736,30.51948,0.0,0.0,0.0,0.0,89.8305,18.42105,0.0,0.0,0.0,36.36363,63.41463,37.2093,0.0,0.0,0.0,0.0,0.0,35.71428,0.0,0.0,0.0,90.72356,84.07534,73.16017,0.0,0.0,0.0,0.0,0.0,0.0,6.59967,0.28834,4.27399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.80115,94.48818,97.9827,13.54679,15.33512,57.66423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.77777,0.0,0.0,0.0,0.0,0.0,25.0,26.82926,32.35294
9,61.53846,55.72519,54.96183,0.0,0.0,0.0,0.0,0.0,63.15789,41.77215,12.75167,4.00822,85.71428,0.0,54.54545,9.17431,38.88888,16.36363,0.0,0.0,0.0,38.82352,9.41176,15.29411,0.0,7.87878,10.11235,0.0,0.0,0.0,0.0,0.0,0.0,60.0141,50.34703,39.07798,43.47826,44.44444,47.72727,0.0,0.0,0.0,60.57142,66.48351,24.67248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.42105,26.62337,0.0,0.0,0.0,48.64864,55.9322,15.78947,0.0,0.0,83.33333,49.0909,73.17073,41.86046,0.0,0.0,0.0,0.0,0.0,35.71428,25.58139,0.0,0.0,84.41558,70.89041,75.75757,0.0,0.0,0.0,0.0,0.0,0.0,4.66776,0.23425,3.48236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.12391,89.76377,57.3487,12.31527,17.42627,76.64233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,30.0,34.14634,47.05882
10,31.73076,38.93129,49.61832,0.0,0.0,0.0,0.0,0.0,26.31578,70.88607,22.81879,6.88591,0.0,0.0,100.0,9.17431,55.55555,19.0909,0.0,0.0,0.0,17.64705,38.82352,16.47058,0.0,3.63636,13.48314,0.0,0.0,0.0,0.0,0.0,0.0,55.21861,56.70048,48.29814,21.73913,40.74074,61.36363,0.0,0.0,0.0,72.57142,54.94505,25.76419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.42105,38.96103,0.0,0.0,0.0,40.54054,71.18644,15.78947,0.0,0.0,0.0,36.36363,36.58536,41.86046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.6512,68.83561,75.97402,0.0,0.0,0.0,0.0,0.0,0.0,4.26989,0.20937,2.47333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.71757,62.99212,52.73775,11.33004,15.12064,74.45255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.64705
11,49.03846,40.45801,47.32824,0.0,0.0,0.0,0.0,0.0,26.31578,55.6962,14.7651,66.49537,0.0,88.88888,0.0,0.0,27.77777,13.63636,0.0,0.0,0.0,17.64705,17.64705,10.58823,0.0,21.21212,12.92134,0.0,0.0,0.0,0.0,0.0,0.0,55.35966,43.72664,39.42266,30.43478,55.55555,43.18181,0.0,0.0,0.0,98.85714,56.04395,24.89082,0.0,0.0,0.0,0.0,0.0,0.0,18.36734,22.36842,43.50649,0.0,0.0,0.0,29.72972,57.62711,26.31578,0.0,0.0,0.0,38.18181,56.09756,48.8372,0.0,0.0,0.0,0.0,0.0,0.0,8.13953,2.0,0.0,69.01669,70.54794,93.50649,0.0,0.0,0.0,0.0,0.0,0.0,3.63822,0.20572,2.28876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.21037,57.48031,63.40057,7.88177,15.60321,77.37226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.21951,41.17647
12,52.88461,34.35114,41.98473,0.0,0.0,0.0,0.0,0.0,57.89473,65.82278,12.75167,100.0,0.0,66.66666,0.0,6.42201,0.0,57.27272,0.0,0.0,0.0,5.88235,17.64705,10.58823,5.43478,10.90909,5.05617,0.0,0.0,0.0,0.0,0.0,0.0,50.70521,37.58675,37.26841,21.73913,59.25925,50.0,0.0,0.0,0.0,55.42857,48.90109,20.08733,0.0,0.0,0.0,0.0,0.0,0.0,55.10204,17.10526,29.22077,0.0,0.0,0.0,75.67567,25.42372,36.8421,0.0,0.0,0.0,49.0909,68.29268,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66666,0.0,60.6679,67.80821,93.29004,0.0,0.0,0.0,0.0,0.0,0.0,6.1936,39.82248,2.6374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.58213,71.65354,67.14697,5.41871,13.56568,69.34306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,0.0,0.0,14.63414,70.58823
13,61.53846,48.0916,38.16793,0.0,0.0,0.0,0.0,0.0,26.31578,74.68354,23.48993,27.4409,0.0,0.0,45.45454,8.25688,27.77777,8.18181,0.0,0.0,0.0,32.94117,5.88235,100.0,0.0,14.54545,6.74157,0.0,0.0,0.0,0.0,0.0,0.0,55.71227,40.89695,33.6062,21.73913,77.77777,56.81818,0.0,0.0,0.0,69.14285,69.23076,18.34061,0.0,0.0,0.0,0.0,0.0,0.0,12.24489,10.52631,49.35064,0.0,0.0,0.0,40.54054,69.49152,18.42105,0.0,0.0,0.0,40.0,100.0,62.79069,0.0,0.0,0.0,0.0,0.0,50.0,0.0,3.66666,0.0,71.98515,82.87671,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65955,0.21136,2.45693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.39481,97.63779,58.50144,7.38916,70.24128,68.61313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0
