,데싱디바 매직프레스 페디큐어_0,데싱디바 매직프레스 페디큐어_1,젤라또팩토리 하또하또핏 패디_0,젤라또팩토리 하또하또핏 패디_1,데싱디바 매직프레스 페디큐어 슈퍼 슬림핏_0,데싱디바 매직프레스 페디큐어 슈퍼 슬림핏_1,오호라 세미 큐어 젤  페디 _0,오호라 세미 큐어 젤  페디 _1,데싱디바  빅스톤 컬렉션  프리미엄 매직프레스 페디큐어 슈퍼 슬림핏_0,데싱디바  빅스톤 컬렉션  프리미엄 매직프레스 페디큐어 슈퍼 슬림핏_1,젤라또팩토리 띠부띠부팁 패디_0,젤라또팩토리 띠부띠부팁 패디_1,젤라또팩토리 띠부띠부팁 패디 프리미엄_0,젤라또팩토리 띠부띠부팁 패디 프리미엄_1,데싱디바  에뛰드 에디션  매직프레스 페디큐어_0,데싱디바  에뛰드 에디션  매직프레스 페디큐어_1,데싱디바  이니스프리 에디션  매직프레스 페디큐어 슈퍼 슬림핏_0,데싱디바  이니스프리 에디션  매직프레스 페디큐어 슈퍼 슬림핏_1,데싱디바  하바나 컬렉션  프리미엄 매직프레스 페디큐어 슈퍼 슬림핏_0,데싱디바  하바나 컬렉션  프리미엄 매직프레스 페디큐어 슈퍼 슬림핏_1,데싱디바  빅스톤 컬렉션  프리미엄 글로스 페디_0,데싱디바  빅스톤 컬렉션  프리미엄 글로스 페디_1,데싱디바  팔로우미 컬렉션  매직프레스 페디큐어 슈퍼 슬림핏_0,데싱디바  팔로우미 컬렉션  매직프레스 페디큐어 슈퍼 슬림핏_1,데싱디바 글로스 페디 스트립_0,데싱디바 글로스 페디 스트립_1,데싱디바  더퀸 컬렉션  매직프레스 페디큐어 슈퍼 슬림핏_0,데싱디바  더퀸 컬렉션  매직프레스 페디큐어 슈퍼 슬림핏_1,데싱디바  보노보노 컬렉션  매직프레스 페디큐어 슈퍼 슬림핏_0,데싱디바  보노보노 컬렉션  매직프레스 페디큐어 슈퍼 슬림핏_1,데싱디바  보노보노컬렉션  글로스 페디_0,데싱디바  보노보노컬렉션  글로스 페디_1,데싱디바  빅스톤 컬렉션  글로스 페디_0,데싱디바  빅스톤 컬렉션  글로스 페디_1,데싱디바  빅플레져컬렉션  글로스 페디  터키 스톤 _0,데싱디바  빅플레져컬렉션  글로스 페디  터키 스톤 _1,데싱디바  소프트샤인  매직프레스 페디큐어 슈퍼 슬림핏_0,데싱디바  소프트샤인  매직프레스 페디큐어 슈퍼 슬림핏_1,데싱디바  오  캘리포니아 컬렉션  글로스 페디_0,데싱디바  오  캘리포니아 컬렉션  글로스 페디_1,웨이크메이크 네일건 케어  핑크 영양제 _0,웨이크메이크 네일건 케어  핑크 영양제 _1,위드샨 이레이저_0,위드샨 이레이저_1,오피아이 오리지널 엔비_0,오피아이 오리지널 엔비_1,마이크로셀 네일 바이탈_0,마이크로셀 네일 바이탈_1,버츠비 레몬 버터 큐티클 크림_0,버츠비 레몬 버터 큐티클 크림_1,스킨푸드 호호바 오일 네일에센스_0,스킨푸드 호호바 오일 네일에센스_1,에뛰드 헬프 마이 핑거 에센스 스파_0,에뛰드 헬프 마이 핑거 에센스 스파_1,이니스프리 네일 강화제_0,이니스프리 네일 강화제_1,아리따움 모디 에센셜 오일_0,아리따움 모디 에센셜 오일_1,다이소 큐티클 오일_0,다이소 큐티클 오일_1,스킨푸드 파인 넛 큐티클 오일_0,스킨푸드 파인 넛 큐티클 오일_1,웨이크메이크 네일건 케어  핑크 강화제 _0,웨이크메이크 네일건 케어  핑크 강화제 _1,아리따움 모디 하드너_0,아리따움 모디 하드너_1,오피아이 아보플렉스 큐티클 오일_0,오피아이 아보플렉스 큐티클 오일_1,Nail Tek인텐시브 테라피 II_0,Nail Tek인텐시브 테라피 II_1,네이처리퍼블릭 컬러 앤 네이처 네일 케어 에센스 펜_0,네이처리퍼블릭 컬러 앤 네이처 네일 케어 에센스 펜_1,데싱디바 레드테라피 데미지 릴리프  매직프레스 전용 _0,데싱디바 레드테라피 데미지 릴리프  매직프레스 전용 _1,보브 네일콘 네일케어_0,보브 네일콘 네일케어_1,시드물 민중기 KGF 손톱 영양 앰플_0,시드물 민중기 KGF 손톱 영양 앰플_1,라벨영 쇼킹구해줘네일밤_0,라벨영 쇼킹구해줘네일밤_1
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,21.73913,71.42857,0.0,0.0,0.0,0.0,2.24358,42.85714,0.0,0.0,43.24324,68.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16666,66.66666,0.0,0.0,56.75675,51.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,15.38461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.17391,0.0,0.0,0.0,0.0,0.0,1.92307,71.42857,0.0,0.0,56.75675,62.22222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.66666,45.45454,21.73913,71.42857,0.0,0.0,0.0,0.0,2.88461,76.19047,0.0,0.0,59.45945,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,20.51282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,21.73913,100.0,0.0,0.0,0.0,0.0,1.92307,85.71428,0.0,0.0,62.16216,68.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,39.13043,71.42857,0.0,0.0,0.0,0.0,3.84615,100.0,0.0,0.0,56.75675,51.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,54.54545,26.08695,85.71428,0.0,0.0,0.0,0.0,5.44871,52.38095,0.0,0.0,43.24324,51.11111,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,63.63636,100.0,0.0,0.0,0.0,0.0,0.0,3.84615,57.14285,0.0,0.0,67.56756,48.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,0.0,0.0,0.0,0.0,0.0,4.16666,42.85714,0.0,0.0,56.75675,68.88888,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,12.82051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52564,38.09523,0.0,0.0,54.05405,91.11111,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,39.13043,0.0,0.0,0.0,0.0,0.0,3.52564,23.80952,0.0,0.0,59.45945,62.22222,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,43.47826,85.71428,0.0,0.0,0.0,0.0,7.6923,47.61904,0.0,0.0,64.86486,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,26.08695,85.71428,0.0,0.0,0.0,0.0,6.08974,66.66666,0.0,0.0,86.48648,48.88888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23.07692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1282,66.66666,0.0,0.0,75.67567,57.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73913,0.0,0.0,0.0,0.0,0.0,100.0,47.61904,0.0,0.0,54.05405,51.11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,15.38461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,30.43478,0.0,0.0,0.0,0.0,0.0,37.17948,52.38095,0.0,0.0,56.75675,75.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,30.76923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.85897,0.0,0.0,0.0,56.75675,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7826,71.42857,0.0,0.0,0.0,0.0,27.5641,0.0,0.0,0.0,81.08108,93.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54545,34.7826,0.0,0.0,0.0,0.0,0.0,15.38461,38.09523,0.0,0.0,37.83783,93.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
