,얼스레시피 셀다운 너리싱 크림_0,얼스레시피 셀다운 너리싱 크림_1,타이거밤 타이거밤 넥앤숄더 크림_0,타이거밤 타이거밤 넥앤숄더 크림_1,유라인코스메틱 바디슬리밍 핫 테라피 크림_0,유라인코스메틱 바디슬리밍 핫 테라피 크림_1,어퓨 피곤하지 마사지 볼_0,어퓨 피곤하지 마사지 볼_1,슬림워크 야간용 슈퍼 롱 압박 스타킹_0,슬림워크 야간용 슈퍼 롱 압박 스타킹_1,클라랑스 바디 핏 엑스퍼트 카피톤_0,클라랑스 바디 핏 엑스퍼트 카피톤_1,클라랑스 뷔스트 뷰티 로션_0,클라랑스 뷔스트 뷰티 로션_1,뉴스킨 갈바닉 스파 시스템 에이지락바디_0,뉴스킨 갈바닉 스파 시스템 에이지락바디_1,클라랑스 크렘 마스벨트_0,클라랑스 크렘 마스벨트_1,블리스 팻 걸 식스팩_0,블리스 팻 걸 식스팩_1,벨레다 버치 셀룰라이트 오일_0,벨레다 버치 셀룰라이트 오일_1,클라랑스 바디 리프트 컨트롤_0,클라랑스 바디 리프트 컨트롤_1,미스레그 마사지 핫볼_0,미스레그 마사지 핫볼_1,아므 리얼 쿨 바디_0,아므 리얼 쿨 바디_1,스킨조아 날씬 미녀 크림_0,스킨조아 날씬 미녀 크림_1,라뮤즈 더 바디 슬림 이펙터_0,라뮤즈 더 바디 슬림 이펙터_1,라뮤즈 더 바디 슬림 젤_0,라뮤즈 더 바디 슬림 젤_1,커버라인 레그 리커버리 수면쉐이퍼_0,커버라인 레그 리커버리 수면쉐이퍼_1,힐플렉스 리커버리 크림_0,힐플렉스 리커버리 크림_1,더마콜 바디 엔자 버턱스앤힙스_0,더마콜 바디 엔자 버턱스앤힙스_1,크리스탈 미네랄 데오드란트 스틱_0,크리스탈 미네랄 데오드란트 스틱_1,크리스탈 미네랄 데오드란트 롤온  무향 _0,크리스탈 미네랄 데오드란트 롤온  무향 _1,크리스탈 데오드란트 바디 스프레이_0,크리스탈 데오드란트 바디 스프레이_1,비오레 사라사라 파우더시트_0,비오레 사라사라 파우더시트_1,더마비 데오프레쉬 바디 프라이머_0,더마비 데오프레쉬 바디 프라이머_1,프라도어 바디 데오 스틱  무향 _0,프라도어 바디 데오 스틱  무향 _1,레이디 스피드 스틱 틴 스피릿 솔리드 핑크 크러쉬 데오드란트_0,레이디 스피드 스틱 틴 스피릿 솔리드 핑크 크러쉬 데오드란트_1,프라도어 바디 데오 스틱  바닐라 파우더리향 _0,프라도어 바디 데오 스틱  바닐라 파우더리향 _1,니베아 데오드란트 롤온 드라이 컴포트_0,니베아 데오드란트 롤온 드라이 컴포트_1,이솝 데오도란트_0,이솝 데오도란트_1,니베아 엑스트라 화이트  스틱 _0,니베아 엑스트라 화이트  스틱 _1,하이드로퓨갈 데오드란트 미스트_0,하이드로퓨갈 데오드란트 미스트_1,유리아쥬 데오도란트 두세르_0,유리아쥬 데오도란트 두세르_1,미스사사 슈퍼 쿨링 파우더 시트 클린 솝 향_0,미스사사 슈퍼 쿨링 파우더 시트 클린 솝 향_1,니베아 데오드란트 스틱드라이콤포트_0,니베아 데오드란트 스틱드라이콤포트_1,니베아 데오드란트 스프레이 패뷸러스 플라워_0,니베아 데오드란트 스프레이 패뷸러스 플라워_1,Rexena안티 퍼스피런트 데오드란트 스틱 패션_0,Rexena안티 퍼스피런트 데오드란트 스틱 패션_1,미스사사 슈퍼쿨링파우더시트_0,미스사사 슈퍼쿨링파우더시트_1,니베아 엑스트라 화이트  롤온 _0,니베아 엑스트라 화이트  롤온 _1,바이빠세 롤온 데오드란트  뱀부 _0,바이빠세 롤온 데오드란트  뱀부 _1
10,0.0,0.0,0.0,0.0,0.0,0.0,17.35537,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.28571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,86.20689,4.65116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,24.79338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.20408,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.72413,1.45348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,10.7438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.03448,4.06976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,11.15702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.40816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.24137,4.36046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,3.30578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.20408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.93103,2.03488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,7.02479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.53846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,53.84615,17.24137,1.45348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,71.42857,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,5.78512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.20408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,48.27586,2.03488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,9.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.10344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,24.38016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.20408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.52941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,55.17241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,16.52892,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,48.27586,1.45348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,14.87603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71428,0.0,12.24489,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.52941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.68965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,9.50413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.24489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.64705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,9.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.56862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.37931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,12.80991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.64705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.96551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,11.15702,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.15384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,48.27586,2.03488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,13.22314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46153,17.24137,2.03488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,11.98347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.20408,38.46153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.64705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.48275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,16.94214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.68627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,15.70247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.64705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.06896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,8.26446,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.63265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.21568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.75862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,30.99173,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.2653,0.0,0.0,0.0,0.0,0.0,0.0,27.77777,0.0,0.0,74.5098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.68965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.77777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
