,아비노 데일리 모이스춰라이징 로션_0,아비노 데일리 모이스춰라이징 로션_1,홀리카홀리카 굳세라 아토릴리프 오일 로션_0,홀리카홀리카 굳세라 아토릴리프 오일 로션_1,바이오더마 아토덤 크림_0,바이오더마 아토덤 크림_1,러쉬 슬리피_0,러쉬 슬리피_1,암웨이 하이드레이팅 핸드 앤 바디로션_0,암웨이 하이드레이팅 핸드 앤 바디로션_1,엘리자베스아덴 그린티 허니 드롭스 바디크림_0,엘리자베스아덴 그린티 허니 드롭스 바디크림_1,뉴트로지나 노르웨이젼 포뮬러 바디 에멀젼_0,뉴트로지나 노르웨이젼 포뮬러 바디 에멀젼_1,멜라루카 리뉴 인텐시브 스킨 로션_0,멜라루카 리뉴 인텐시브 스킨 로션_1,일리윤 울트라 리페어 로션_0,일리윤 울트라 리페어 로션_1,아비노 스트레스 릴리프 모이스처라이징 로션_0,아비노 스트레스 릴리프 모이스처라이징 로션_1,바세린 퓨어 스킨 젤리 오리지널_0,바세린 퓨어 스킨 젤리 오리지널_1,헉슬리 바디 오일 모로칸 가드너_0,헉슬리 바디 오일 모로칸 가드너_1,메디포포 레미디얼 크림_0,메디포포 레미디얼 크림_1,더마비 데일리 모이스처 바디 오일_0,더마비 데일리 모이스처 바디 오일_1,더마비 마일드 모이스처 밀크 오일_0,더마비 마일드 모이스처 밀크 오일_1,김정문알로에큐어 플러스 크림_0,김정문알로에큐어 플러스 크림_1,LUCAS PAPAW REMEDIES 포포크림_0,LUCAS PAPAW REMEDIES 포포크림_1,클라랑스 토닉 바디 트리트먼트 오일_0,클라랑스 토닉 바디 트리트먼트 오일_1,아쿠아퍼 수딩 오인트먼트_0,아쿠아퍼 수딩 오인트먼트_1,로즈버드 퍼퓸 컴퍼니 로즈버드살브 오리지널_0,로즈버드 퍼퓸 컴퍼니 로즈버드살브 오리지널_1,퓨어포레 센텔라 멀티 밤_0,퓨어포레 센텔라 멀티 밤_1,ROSE & CO.로즈페탈 살브_0,ROSE & CO.로즈페탈 살브_1,록시땅 퓨어 시어 버터 EFT  에코서트_0,록시땅 퓨어 시어 버터 EFT  에코서트_1,더바디샵 모링가 뷰티파잉 오일_0,더바디샵 모링가 뷰티파잉 오일_1,버츠비 레몬 앤 비타민 E 바스 앤 바디 오일_0,버츠비 레몬 앤 비타민 E 바스 앤 바디 오일_1,비욘드 딥 모이스처 바디 오일_0,비욘드 딥 모이스처 바디 오일_1,로즈버드 퍼퓸 컴퍼니 민트 로즈 튜브_0,로즈버드 퍼퓸 컴퍼니 민트 로즈 튜브_1,아쿠아퍼 수딩 스킨 밤_0,아쿠아퍼 수딩 스킨 밤_1,록시땅 아몬드 서플 스킨 오일_0,록시땅 아몬드 서플 스킨 오일_1,꼬달리 디바인 오일_0,꼬달리 디바인 오일_1,비욘드 딥 모이스처 바디 미스트_0,비욘드 딥 모이스처 바디 미스트_1,러쉬 트와일라잇_0,러쉬 트와일라잇_1,더프트앤도프트 스톡홀름로즈 파인프라그란스 헤어   바디미스트_0,더프트앤도프트 스톡홀름로즈 파인프라그란스 헤어   바디미스트_1,바디홀릭 바디미스트  화이트포션 _0,바디홀릭 바디미스트  화이트포션 _1,빅토리아시크릿 바디미스트 아쿠아키스_0,빅토리아시크릿 바디미스트 아쿠아키스_1,바디판타지 웨딩데이 판타지 바디 스프레이_0,바디판타지 웨딩데이 판타지 바디 스프레이_1,바디홀릭 핑크 포션_0,바디홀릭 핑크 포션_1,더바디샵 화이트 머스크 후레그런스 미스트_0,더바디샵 화이트 머스크 후레그런스 미스트_1,록시땅 시트러스 버베나 바디 스플래쉬_0,록시땅 시트러스 버베나 바디 스플래쉬_1,프라도어 바디 오 드 뚜왈렛   _0,프라도어 바디 오 드 뚜왈렛   _1
0,0.0,71.42857,0.0,0.0,59.63923,56.58362,60.15625,61.4035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.18181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.76811,33.33333,0.0,0.0,0.0,0.0,17.69784,14.74926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.36363,26.08695,0.0,0.0,79.06976,31.81818,81.25,0.0,69.1228,88.54489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.82142,35.41666,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,66.9673,46.0854,82.03125,74.5614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.80808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.43478,72.22222,0.0,0.0,0.0,0.0,22.73381,15.63421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.17391,0.0,0.0,48.8372,22.72727,62.5,0.0,61.75438,97.83281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.03571,45.83333,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,65.50169,71.88612,71.09375,51.75438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.21212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,32.60869,41.66666,0.0,0.0,0.0,0.0,15.25179,14.74926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.90909,52.17391,0.0,0.0,69.76744,22.72727,50.0,0.0,70.52631,90.40247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,41.66666,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,64.03607,79.53736,46.875,50.87719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.43434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,30.43478,25.0,0.0,0.0,0.0,0.0,19.85611,16.81415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.17391,0.0,0.0,41.86046,27.27272,0.0,0.0,65.61403,75.54179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65476,47.91666,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,72.3788,68.8612,43.75,65.78947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.11627,80.55555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.31884,13.88888,0.0,0.0,0.0,0.0,17.98561,14.74926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72727,73.91304,0.0,0.0,0.0,27.27272,50.0,30.0,74.38596,78.63777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.25595,39.58333,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,68.0947,65.12455,50.78125,76.31578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6279,64.14141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.01449,22.22222,0.0,0.0,0.0,0.0,100.0,19.76401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,69.56521,0.0,0.0,55.81395,22.72727,56.25,0.0,79.64912,80.49535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,52.08333,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,60.9921,57.11743,100.0,80.70175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.51515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,7.24637,58.33333,0.0,0.0,0.0,0.0,69.06474,17.69911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,39.13043,0.0,0.0,46.51162,27.27272,56.25,35.0,78.24561,72.13622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.85119,25.0,0.0,100.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,61.66854,63.70106,74.21875,92.98245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.39393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3913,22.22222,0.0,0.0,0.0,0.0,63.88489,21.23893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,52.17391,0.0,45.0,48.8372,31.81818,62.5,0.0,69.1228,73.9938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.71428,81.25,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,60.42841,50.17793,75.78125,66.66666,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,16.27906,75.50505,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.01449,25.0,0.0,0.0,0.0,0.0,53.95683,27.43362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.81818,43.47826,0.0,0.0,74.4186,54.54545,62.5,0.0,56.8421,95.35603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.77976,37.5,0.0,83.33333,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,53.77677,60.32028,71.875,59.64912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.55813,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.55555,0.0,0.0,0.0,0.0,16.66666,41.66666,0.0,0.0,0.0,0.0,46.18705,17.69911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.36363,95.65217,0.0,0.0,100.0,0.0,0.0,0.0,70.87719,84.52012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.10119,56.25,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,61.33032,85.76512,60.15625,77.19298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.55813,82.82828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.94202,16.66666,0.0,0.0,0.0,0.0,40.8633,13.8643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0909,56.52173,0.0,0.0,58.13953,40.90909,0.0,25.0,76.14035,84.52012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65476,64.58333,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,100.0,0.0,0.0,62.23224,67.43772,49.21875,72.80701,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,23.25581,79.0404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,12.31884,72.22222,0.0,0.0,0.0,0.0,29.4964,13.8643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.36363,73.91304,0.0,0.0,23.25581,27.27272,37.5,0.0,73.33333,92.56965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31547,47.91666,0.0,0.0,0.0,0.0,0.0,0.0
